Area,District,Contact Number,Service Provider
Kolkata,Kolkata,8902377288,MAHAYOGI FOUNDATION
Garia,Kolkata,9836094897,Babai
Jadavpur,Kolkata,"9830048199, 9831298429, 2421-5079, 2421-8165",Jadavpur Merchants Association
Kolkata,Kolkata,9830986044,Mishra Ji
Kolkata,Kolkata,"8240008394, 8981252465",Narayan Ambulance Service
Kolkata,Kolkata,9831305502,Santu
Baranagar,North 24 parganas,9432362856,BHAI AMBULANCE
Baranagar,North 24 parganas,9836035945,Uttam Ambulance Service
Kolkata,Kolkata,102,EMERGENCY AMBULANCE
Kolkata,Kolkata,"9830023653, 033-24863926, 033-24761935",St. Johns Ambulance (H.Q)
Kolkata,Kolkata,033-24150600,HEALTHCARE
Kolkata,Kolkata,033-24754169,RELIEF MEDICAL SERVICES
Kolkata,Kolkata,033-24754628,LIFECARE MEDICAL SERVICES
Kolkata,Kolkata,033-24495594,DHANWANTRY
Kolkata,Kolkata,7003456588,Poddar Ambulance Service
Jadavpur,Kolkata,8013476160,Lokenath Ambulance Services
Kolkata,Kolkata,9163635162,Narayan Ambulance Services
Kasba,Kolkata,9836909839/ 8420004004,Hindustan Ambulance Services
Kalighat,Kolkata,9830034475/ 7980636271,Bluebells Ambulance Services
Kalighat,Kolkata,9831444428,The Golden Hour Ambulance Services
Tollygunge,Kolkata,7947405072,Meera Seva Welfare Society
Kolkata,Kolkata,9875686693,Amjad
Howrah,Howrah,9875686693,Amjad
Asansol,Paschim bardhaman,9434678387,Bharat Ambulance
Asansol,Paschim bardhaman,9775555543,Ma Ambey Ambulance
Durgapur,Paschim bardhaman,9434678387,Bharat Ambulance
Durgapur,Paschim bardhaman,9775555543,Ma Ambey Ambulance
Purulia,Purulia,8967366789,Ambulance Service
Kolkata,Kolkata,9748463237,Ambulance Service
Saltlake,South 24 parganas,8420958776,Ambulance Service
Kolkata,Kolkata,9874404040,Ambulance Service
Kolkata,Kolkata,9007774116,Ambulance Service
Kolkata,Kolkata,9674000858,Ambulance Service
North 24 Parganas,North 24 parganas,9432362856,BHAI AMBULANCE
Behala,South 24 parganas,9163635162,Narayan Ambulance Services
Behala,South 24 parganas,9831422357,Ambulance Service
Kolkata,Kolkata,8910363728,Ambulance Service
Kolkata,Kolkata,7059484445,Pritam ambulance
Kalighat,Kolkata,8777674897,Darpan
North Kolkata,Kolkata,9830777898,Ma Tara Ambulance
Kolkata,Kolkata,9432362856,Babu
Chinsurah,Hooghly,7003305702,Bidhubhushan Roy
Mukundapur,South 24 parganas,983185452,Santoshi Mata Ambu
Kolkata,Kolkata,9163424353,Uttam Ambulance
Bhawanipur,Kolkata,9830034475,Blubells
South Kolkata,Kolkata,9830601342,Harinavi
Kolkata,Kolkata,9.13E+11,KMC Kolkata
Kolkata,Kolkata,9830294165,Ambulance Service
Barrackpore,North 24 parganas,8017572968,Ambulance Service
Kolkata,Kolkata,983144428,The golden hour
Kolkata,Kolkata,3322861000,KMC
Newtown,North 24 parganas,18008891819,Covid care network
Khidirpur,Kolkata,9830986044,Mishra ambulance service
Ballygunge,Kolkata,8240008394,Narayan
Kolkata,Kolkata,9831653898,Ma sarada
Kolkata,Kolkata,9748613508,Raju
Kolkata,Kolkata,9163749117,Unique 
Kolkata,Kolkata,983164489,Govinda 
Kolkata,Kolkata,8942037157,Crisis 
Kolkata,Kolkata,9051911566,Swasth sarathi 
Kolkata,Kolkata,9831342643,Rajkumar D/N 
Kolkata,Kolkata,9831341671,Loknath 
Kolkata,Kolkata,9836694762,Usha 
Kolkata,Kolkata,9748148324,Meera seva 
Kolkata,Kolkata,7091360310,King air 
Kolkata,Kolkata,8017310643,Belgachia fr. Un.
Kolkata,Kolkata,9836310000,Ajanta group
Kolkata,Kolkata,8017175441,Sadharan sammilani
Kolkata,Kolkata,6309963183,Emergency ambulance
Kolkata,Kolkata,6291317341,Meera seva kendra
Kolkata,Kolkata,9748835218,Golden hour
Kolkata,Kolkata,9560123309,Medivic
Kolkata,Kolkata,9903084827,Bidhan Ghosh
Kolkata,Kolkata,9163183104,Ambulance Service
Kolkata,Kolkata,7602156412,Ambulance Service
Kolkata,Kolkata,9339693174,Ambulance Service
Kolkata,Kolkata,8777462062,Ambulance Service
Sinthi more,Kolkata,9432362856,Babu
Sinthi more,Kolkata,9836035945,Uttam
Siliguri,Darjeeling,9932024445,Ambulance Service
Serampore,Hooghly,9038840685,Agarwal medical
Kolkata,Kolkata,9830057587,Kalu kaku
Kolkata,Kolkata,8583823182,Ambulance Service
Kolkata,Kolkata,3324532800,Ambulance Service
Howrah,Howrah,9123685873,Ambulance Service
Kolkata,Kolkata,9123685873,Ambulance Service
Shibpur,Howrah,9123685873,Ambulance Service
Kolkata,Kolkata,18008891819,Covid Care Network
Kolkata,Kolkata,"9830986044,
9830294165",Mishra Ambulance Service
Kolkata,Kolkata,"8240008394,
8981252465","Narayan Ambulance ,Opp M R Bangur"
Kolkata,Kolkata,"9831653898,
9831096648",Maa Sarada Ambulance
Kolkata,Kolkata,9836909839,Hindustan Ambulance Services
Sinthi more,Kolkata,9748613508,Raju Ambulance
Jadavpur,Kolkata,9163749117,Unique Ambulance
South 24 Parganas,South 24 parganas,8942037157,Crisis Ambulance 
Barrackpore,North 24 parganas,9831664489,Govinda Ambulance
North 24 Parganas,North 24 parganas,9163424353,Uttam Ambulance
Saltlake,South 24 parganas,9831341671,Lokenath Ambulance Service
Kankurgachi,Kolkata,9836694762,Usha Ambulance
Kasba,Kolkata,7003456588,Poddar Ambulance
Garia,Kolkata,9748148324,Covid Care Network
Durganagar,North 24 parganas,7091360310,King Air Ambulance Service
Barasat,North 24 parganas,3218222469,Daksin Barasat Cooperative
Belgachia,Kolkata,8017310643,Belgachia Friends'
Chandannagar,Hooghly,9836310000,Ajanta Group Ambulance Service
Jadavpur ,Kolkata,7059484445,Pritam Ambulance
Sonarpur ,South 24 parganas,8017175441,Ambulance Sadharan Sammilani
Birati,North 24 parganas,9062999099,Pintu Ambulance
Kolkata,Kolkata,9804610568,Ambulance Service
Kolkata,Kolkata,9681116912,Ambulance Service
Kolkata,Kolkata,9830033818,Ambulance Service
